א	אַלעף
אַגודת־ישׂראל	אַגודעת־ייִשׂראָעל
אָגיל ואשׂמח	אָגל וועעשׂמעח
אָגיל־ואשׂמח	אָגל־וועעשׂמעח
אדום	עדעם
אדומי	עדוימי
אָדון	אָדן
אָדון בפֿקדך	אָדן בעפֿאָקדעכאָ
אָדון־בפֿקדך	אָדן־בעפֿאָקדעכאָ
אָדון הגדול	אָדן האַגאָדל
אָדון־הגדול	אָדן־האַגאָדל
אַדון עולם	אַדוין אוילעם
אַדון־עולם	אַדוין־אוילעם
אַדוני	אַדויני
אַדונים	אַדוינים
אַדונים הגדולים	אַדוינים האַגדוילים
אַדונים־הגדולים	אַדוינים־האַגדוילים
אַדוננו מורנו ורבנו	אַדויניינו מויריינו וועראַביינו
אַדיר	אַדיר
אַדירים	אַדירים
אָדם	אָדאָם,אָדעם
אָדם הראשון	אָדעם האָרישן
אַדמה	אַדאָמעה
אַדמו״ר	אַדמאָר
אָדמס	אָדעמס
אָדמען	אָדעמען
אָדר	אָדער
אָדר א׳	אָדער אַלעף
אָדר ב׳	אָדער בייס
אָדר ואָדר	אָדער ווייאָדער
אַדרבא	אַדעראַבע,אַדראַבע
אַדרבא ואַדרבא	אַדעראַבע וועאַדעראַבע
אַדרבא־ואַדרבא	אַדעראַבע־וועאַדעראַבע
אַדרבה	אַדעראַבע,אַדראַבעה
אַדרבה ואַדרבה	אַדעראַבע וועאַדעראַבעה
אַדרבה־ואַדרבה	אַדעראַבע־וועאַדעראַבעה
אַהבֿה	אַאַווע,אַהאַבֿעה
אַהבֿה רבה	אַאַווע ראַבע,אַהאַבֿע ראַבעה
אַהבֿה־רבה	אַאַווע־ראַבע,אַהאַבֿע־ראַבעה
אַהבֿת הבריות	אַאַוועס האַבריִעס,אַהאַבֿעת האַבריִעת
אַהבֿת־הבריות	אַאַוועס־האַבריִעס,אַהאַבֿעת־האַבריִעת
אַהבֿת המקום	אַאַוועס האַמאָקעם,אַהאַבֿעת האַמאָקעם
אַהבֿת־המקום	אַאַוועס־האַמאָקעם,אַהאַבֿעת־האַמאָקעם
אַהבֿת ישׂראל	אַאַוועס ייִסראָעל,אַהאַבֿעת ייִשׂראָעל
אַהבֿת־ישׂראל	אַאַוועס־ייִסראָעל,אַהאַבֿעת־ייִשׂראָעל
אַהבֿת נפֿש	אַאַוועס נעפֿעש,אַהאַבֿעת נעפֿעש
אַהבֿת־נפֿש	אַאַוועס־נעפֿעש,אַהאַבֿעת־נעפֿעש
אָהלות	אָהאָלעת
אַהרן	אַרן
אַהרן הכּהן	אַרן האַכּויען
אַהרנס	אַרנס
אוהבֿ בצע	אויהעבֿ בעצע,אויעוו בעצע
אוהבֿ־בצע	אויהעבֿ־בעצע,אויעוו־בעצע
אוהבֿ ישׂראל	אויהעבֿ ייִשׂראָעל,אויעוו ייִסראָעל
אוהבֿ־ישׂראל	אויהעבֿ־ייִשׂראָעל,אויעוו־ייִסראָעל
אוהבֿי ישׂראל	אויהעבֿע ייִשׂראָעל,אויעווע ייִסראָעל
אוהבֿי־ישׂראל	אויהעבֿע־ייִשׂראָעל,אויעווע־ייִסראָעל
אוהל	אויהעל,אויעל
אוהלים	אויהאָלים
אַוודאי	אַוואַדע
אַוויר	אַווער
אַווירט	אַווערט
אַווירן	אַווערן
אַווירנדיק	אַווערנדיק
אַווירסט	אַווערסט
אויסבטלען	אויסבאַטלען
אויסבטלענדיק	אויסבאַטלענדיק
אויסגעבטלט	אויסגעבאַטלט
אויסגעטענהט	אויסגעטײַנעט
אויסגעסדרט	אויסגעסאַדערט
אויסטענהן	אויסטײַנען
אויסטענהנדיק	אויסטײַנענדיק
אויססדרן	אויססאַדערן
אויססדרנדיק	אויססאַדערנדיק
אויסשגצן	אויסשייגעצן
אולי ירחם	אולײַ יעראַחעם
אולי־ירחם	אולײַ־יעראַחעם
אומברחמנות	אומבעראַחמאָנעת
אומברחמנותדיק	אומבעראַחמאָנעתדיק
אומברחמנותדיקן	אומבעראַחמאָנעתדיקן
אומברחמנותדיקע	אומבעראַחמאָנעתדיקע
אומברחמנותדיקער	אומבעראַחמאָנעתדיקער
אומבתּרבותדיק	אומבעתּאַרבעתדיק
אומבתּרבותדיקן	אומבעתּאַרבעתדיקן
אומבתּרבותדיקע	אומבעתּאַרבעתדיקע
אומבתּרבותדיקער	אומבעתּאַרבעתדיקער
אומה	אומעה
אומה ולשון	אומע וועלאָשן
אומה־ולשון	אומע־וועלאָשן
אומות	אומעת
אומות העולם	אומעת האָוילעם
אומות־העולם	אומעת־האָוילעם
אומחן	אומחיין
אומן	אומען
אומן יד	אומען יאַד
אומן־יד	אומען־יאַד
אומנות	אומנעת
אומנותן	אומנעתן
אומר ועושׂה	אוימער וועוישׂעה
אומר־ועושׂה	אוימער־וועוישׂעה
אונטערגנבֿענען	אונטערגאַנבֿענען
אונטערגנבֿענענדיק	אונטערגאַנבֿענענדיק
אונטערגעגנבֿעט	אונטערגעגאַנבֿעט
אונטערצוגנבֿענען	אונטערצוגאַנבֿענען
אונטערקול	אונטערקאָל
אונס	אוינעס
אופֿן	אויפֿן
אופֿנים	אויפֿאַנים
אוצר	אויצער
אוצרות	אויצרעת
אוקינוס	אָקיאָנעס
אור	אויר
אור ליהודים	אויר לאַיעהודים
אור הגנוז	אויר האַגאָנעז
אור־הגנוז	אויר־האַגאָנעז
אור כּשׂדים	אור כּאַזדים
אור־כּשׂדים	אור־כּאַזדים
אורח	אוירעח
אורח הגון	אוירעח האָגן
אורח־הגון	אוירעח־האָגן
אורח חיים	אוירעח חאַיִם
אורח־חיים	אוירעח־חאַיִם
אורחטע	אוירעחטע
אורחטעס	אוירעחטעס
אורחים	אָרחים
אורחים הגונים	אָרחים האַגונים
אורחים־הגונים	אָרחים־האַגונים
אוריאל	אוריִעל
אוריאלן	אוריִעלן
אוריאלס	אוריִעלס
אורים ותּומים	אורים וועתּומים
אורים־ותּומים	אורים־וועתּומים
אושפּיזין	אושפּיזן
אות	אָת
אות באות	אָת בעאָת
אות־באות	אָת־בעאָת
אותו איש	אויתע איש
אותו־איש	אויתע־איש
אותו האיש	אויתע האָיִש
אותו־האיש	אויתע־האָיִש
אותו המקום	אויתע האַמאָקעם
אותו־המקום	אויתע־האַמאָקעם
אותו מקום	אויתע מאָקעם
אותו־מקום	אויתע־מאָקעם
אותו רגע	אויתע רעגע
אותו־רגע	אויתע־רעגע
אותות ומופֿתים	אויתעת אומאָפֿתים
אותות־ומופֿתים	אויתעת־אומאָפֿתים
אותיות	אויתיעת
אותיות מחכּימות	אויתיעת מאַכקימעת
אותיות מרובעות	אויתיעת מערובאָעת
אותיות־מרובעות	אויתיעת־מערובאָעת
אותיותלעך	אויתיעתלעך
אָז ישיר	אָז יאָשער
אָז־ישיר	אָז־יאָשער
אַזהרה	אַזהאָרעה
אַזהרות	אַזהאָרעת
אָח לצרה	אָח לעצאָרעה
אָח־לצרה	אָח־לעצאָרעה
אַחאָבֿ	אַחאָבֿ
אחד	עכאָד
אַחד העם	אַחאַד האָאָם
אַחד־העם	אַחאַד־האָאָם
אַחדות	אַחדעת
אַחדות הבורא	אַחדעת האַבוירע
אַחדות־הבורא	אַחדעת־האַבוירע
אַחוץ	אַחוץ
אָחור	אָחער
אַחוריים	אַחויראַיִם
אָחורס	אָחערס
אָחי	אָחי
אַחיזה	אַחיזעה
אַחיזות	אַחיזעת
אַחיזת עינים	אַחיזעת איינאַיִם
אַחיזת־עינים	אַחיזעת־איינאַיִם
אַחים לצרה	אַחים לעצאָרעה
אַחים־לצרה	אַחים־לעצאָרעה
אַחינו בני ישׂראל	אַחיינו בניי ייִשׂראָעל
אַחינו־בני־ישׂראל	אַחיינו־בניי־ייִשׂראָעל
אַחר	אַחער
אַחר המעשׂה	אַחער האַמײַסעה
אַחר־המעשׂה	אַחער־האַמײַסעה
אַחר מאה שנים	אַחער מייע שאָנים
אַחר־מאה־שנים	אַחער־מייע־שאָנים
אַחרון	אַחרען
אַחרון אַחרון חבֿיבֿ	אַחרען אַחרען חאָבֿיבֿ
אַחרון של פּסח	אַחרען שעל פּייסעח
אַחרון־של־פּסח	אַחרען־שעל־פּייסעח
אַחרונים	אַחרוינים
אַחרי כּכלות הכּל	אַחריי כּיכלוית האַכּל
אַחרי־כּכלות־הכּל	אַחריי־כּיכלוית־האַכּל
אַחרי מות	אַחריי מוית
אַחרי־מות	אַחריי־מוית
אַחריות	אַחרײַעת
אַחרית הימים	אַחרעת האַיאָמים
אַחרית־הימים	אַחרעת־האַיאָמים
אַחשוורוש	אַחאַשוויירעש
אַחשתּרנים	אַחאַשתּראָנים
אַחת ואַחת	אַחאַת וועאַחאַת
אַחת־ואַחת	אַחאַת־וועאַחאַת
איבוד	איבעד
איבערגעחזרט	איבערגעחאַזערט
איבערחזרן	איבערחאַזערן
איבערחזרנדיק	איבערחאַזערנדיק
איובֿ	איִעוו
איובֿ בשׂורה	איִעוו בשׂורע,איִעוו פּסורעה
איובֿ־בשׂורה	איִעוו־בשׂורע,איִעוו־פּסורעה
איובֿ בשׂורות	איִעוו בשׂורעס,איִעוו פּתורעת
איובֿ־בשׂורות	איִעוו־בשׂורעס,איִעוו־פּתורעת
אייבערהסברה	אייבערהאַזבאָרע,אייבערהאַסבאָרעה
אייבערהסברות	אייבערהאַזבאָרעס,אייבערהאַסבאָרעת
אייבערקול	אייבערקאָל
אײַנגעחושכט	אײַנגעחוישעכט
אײַנגעחושכטן	אײַנגעחוישעכטן
אײַנגעחושכטע	אײַנגעחוישעכטע
אײַנגעחושכטער	אײַנגעחוישעכטער
אײַנגעחזירט	אײַנגעחאַזערט
אײַנחזירן	אײַנחאַזערן
אײַנחזירנדיק	אײַנחאַזערנדיק
אייר	איִער
איכה	אייכעה
איכות	אייכעת
אַילונית	אײַלענית
אַילוניתן	אײַלעניתן
אימה	איימעה
אימהדיק	איימעדיק
אימהדיקן	איימעדיקן
אימהדיקס	איימעדיקס
אימהדיקע	איימעדיקע
אימהדיקער	איימעדיקער
אימת מוות	איימעת מאָוועת
אימת־מוות	איימעת־מאָוועת
אימתא דציבורא	איימעתע דעציבורע
אימתא־דציבורא	איימעתע־דעציבורע
ישראל	ייִסראָעל
אין	איין
אין אונס	איין אוינעס
אין חכמה ואין תּבֿונה נגד	איין חאָכמע וועיין תּוווּנע נעגעד
אין יוצא ואין באָ	איין יויצע וועיין באָ
אין מזל לישׂראל	איין מאַזל לעייִשׂראָעל
אין עצה ואין תּבֿונה	איין אייצע וועיין תּוווּנעה
אין קול ואין עונה	איין קאָל וועיין אוינעה
אין בית	איין באַיִת
אין־בית	איין־באַיִת
אין ברירה	איין בריירעה
אין־ברירה	איין־בריירעה
אין לי	איין לי
אין־לי	איין־לי
אין לשער	איין לעשאַער
אין־לשער	איין־לעשאַער
אין לשער ואין לספּר	איין לעשאַער וועיין לעסאַפּער
אין־לשער ואין־לספּר	איין־לעשאַער וועיין־לעסאַפּער
אין־סוף	איינסאָף
אינו ישׂראל	איינע ייִשׂראָעל
אינו־ישׂראל	איינע־ייִשׂראָעל
אינו ניראה	איינע נירעה
אינו־ניראה	איינע־נירעה
אינו ניראהס	איינע נירעס
אינו־ניראהס	איינע־נירעס
איננו	איינענו
איסור	איסער
איסורים	איסורים
איסיי	איסיִיִ
איסיים	איסיִיִם
איסר	איסער
איסרו חג	איסרע חאַג
איסרו־חג	איסרע־חאַג
איפּכא מסתּברא	איפּכע מיסתּאַברע
איפּכא־מסתּברא	איפּכע־מיסתּאַברע
איפּכא מסתּבראניצע	איפּכע מיסתּאַברעניצע
איפּכא־מסתּבראניצע	איפּכע־מיסתּאַברעניצע
איפּכא מסתּבראניצעס	איפּכע מיסתּאַברעניצעס
איפּכא־מסתּבראניצעס	איפּכע־מיסתּאַברעניצעס
איפּכא מסתּבראניק	איפּכע מיסתּאַברעניק
איפּכא־מסתּבראניק	איפּכע־מיסתּאַברעניק
איפּכא מסתּבראניקעס	איפּכע מיסתּאַברעניקעס
איפּכא־מסתּבראניקעס	איפּכע־מיסתּאַברעניקעס
איצטלא דרבנן	איצטעלע דעראַבאָנען
איצטלא־דרבנן	איצטעלע־דעראַבאָנען
איש	איש
איש חשובֿ	איש חאָשעוו
איש־חשובֿ	איש־חאָשעוו
איש ישר	איש יאָשער
איש־ישר	איש־יאָשער
איש מהימן	איש מעהיימען
איש־מהימן	איש־מעהיימען
איש מפּי איש	איש מעפּי איש
איש־מפּי־איש	איש־מעפּי־איש
אישה	אישעה
אישה צנועה	אישע צנועה
אישה־צנועה	אישע־צנועה
איתמר	איתאָמער
אַכזר	אַכזער
אַכזריות	אַכזאָריעת
אַכזרים	אַכזאָרים
אַכילה	אַכילעה
אַכילה ושתּיה	אַכילע אושתּיִעה
אַכילה־ושתּיה	אַכילע־אושתּיִעה
אַכל	אַכל
אַכלט	אַכלט
אַכלן	אַכלען
אַכלנים	אַכלאָנים
אַכלסט	אַכלסט
אַכלען	אַכלען
אַכלענדיק	אַכלענדיק
אַכסניא	אַכסאַניע
אַכסניה	אַכסאַניעה
אַכסניות	אַכסאַניעת
אל	אייל
אַל	אַל
אַל תּסתּכּל בקנקן	אַל תּיסתּאַכּל בעקאַנקן
אַל תּפֿתּח פּה לשׂטן	אַל תּיפֿתּאַח פּע לאַשׂאָטן
אַל תּשליכנו לעת זיקנה	אַל תּאַשליכיינו לעיית זיקנעה
אַל תּשליכנו לעת־זיקנה	אַל תּאַשליכיינו לעיית־זיקנעה
אל מלא רחמים	אייל מאָלע ראַחמים
אל־מלא־רחמים	אייל־מאָלע־ראַחמים
אל נקמות	אייל נעקאָמעת
אל־נקמות	אייל־נעקאָמעת
אל רחום וחנון	אייל ראַחום וועחאַנון
אל־רחום־וחנון	אייל־ראַחום־וועחאַנון
אלא	עלאָ,עלע
אלא מאַי	עלאָ מאַ ,עלאָ מײַ,עלע מאַ,עלע מײַ
אלא מה	עלאָ מאַ ,עלאָ מײַ,עלע מאַ,עלע מײַה
אלה תּולדות	איילע תּאָלדעת
אלול	עלעל
אלולדיק	עלעלדיק
אַלוף	אַלעף
אַלופֿים	אַלופֿים
אלחנן	עלכאָנען
אלחננס	עלכאָנענס
אלחננען	עלכאָנענען
אליה	עליעה
אליהו	עליאָהו
אליהו הנבֿיא	עליאָהו האַנאָבֿי,עליעהאַנאָווע,עליענאָווע
אליהו הנבֿיאס	עליאָהו האַנאָבֿיס,עליעהאַנאָוועס
אליהון	עליאָהון
אליהוס	עליאָהוס
אליהן	עליען
אליהס	עליעס
אלימלך	עלימיילעך
אליעזר	עליעזער
אליעזרן	עליעזערן
אליעזרס	עליעזערס
אליקום	עליאָקעם
אלישע	עלישע
אלישע בן אַבֿויה	עלישע בען אַוווּיעה
אלישע בן־אַבֿויה	עלישע בען־אַוווּיעה
אלישען	עלישען
אלישעס	עלישעס
אַלכּסנדר	אַלעכּסאַנדער
אַלכּסנדר מוקדון	אַלעכּסאַנדער מאָקדן
אַלכּסנדרן	אַלעכּסאַנדערן
אַלכּסנדרס	אַלעכּסאַנדערס
אַלכסון	אַלאַכסן
אַלכסונס	אַלאַכסנס
אַלמאַי	אַלעמײַ
אַלמן	אַלמען
אַלמנה	אַלמאָנעה
אלעזר	עלאָזער
אלעזרן	עלאָזערן
אלעזרס	עלאָזערס
אַלף	אַלעף
אלף	עלעף
אלף אַלפֿים	עלעף אַלאָפֿים
אלף־אַלפֿים	עלעף־אַלאָפֿים
אַלף־בית	אַלעפֿביית
אלף השישי	עלעף האַשישי
אלף־השישי	עלעף־האַשישי
אַלפֿי אַלפֿים	אַלפֿיי אַלאָפֿים
אַלפֿי־אַלפֿים	אַלפֿיי־אַלאָפֿים
אַלפֿים	אַלאָפֿים
אלקנה	עלקאָנעה
אם	אים
אם לא יועיל לא יזיק	אים לוי יאָיִל לוי יאַזיק
אם לא עכשיו אימתי	אים לוי אַכשאָוו איימאָתײַ
אם ירצה השם	אים ייִרצע האַשעם,מירצעשעם,מערטשעם,מערצעשעם
אם־ירצה־השם	אים־ייִרצע־האַשעם,מירצעשעם,מערטשעם,מערצעשעם
אם־כּן	אימכּיין
אמהות	אימאָעת
אמונה	עמונעה
אמונה שלמה	עמונע שליימעה
אמונה־שלמה	עמונע־שליימעה
אמונות	עמונעת
אמור	עמער
אַמורא	אַמוירע
אַמוראָים	אַמויראָיִם
אָמן	אָמיין
אָמן וכן יהי רצון	אָמיין פֿכיין יעהי ראָצן
אָמן סלה	אָמיין סעלאָה
אָמן־סלה	אָמיין־סעלאָה
אַמנון	אַמנען
אָמר	אָמאַר
אמת	עמעת
אמת מארץ תּצמח	עמעת מעערעץ תּיצמעח
אמת ויציבֿ	עמעת וועיאַצעבֿ
אמת־ויציבֿ	עמעת־וועיאַצעבֿ
אמתדיק	עמעתדיק
אמתדיקן	עמעתדיקן
אמתדיקס	עמעתדיקס
אמתדיקע	עמעתדיקע
אמתדיקער	עמעתדיקער
אמתן	עמעתן
אמתע	עמעסע
אמתער	עמעתער
אָנגעשיכּורט	אָנגעשיכּערט
אַנדרוגינוס	אַנדרויגינעס
אָנוכי	אָנויכי
אָנוס	אָנעס
אַנוסים	אַנוסים
אָנחזירן	אָנחאַזערן
אָנחידושן	אָנחידעשן
אַנטיוכוס	אַנטיִאָכעס
אַנטיוכוס הרשע	אַנטיִאָכעס האַראָשע
אַני שלמה	אַני שלוימעה
אַני הקטן	אַני האַקאָטן
אַני־הקטן	אַני־האַקאָטן
אַני מאמין	אַני מײַמען
אַני־מאמין	אַני־מײַמען
אָנצושיכּורן	אָנצושיכּערן
אנקת מסלדיך	ענקעת מעסאַלדעכאָ
אנקת־מסלדיך	ענקעת־מעסאַלדעכאָ
אַנשי־	אַנשע
אַנשי כּנסת הגדולה	אַנשע כּנעסעת האַגדוילעה
אַנשי־כּנסת־הגדולה	אַנשע־כּנעסעת־האַגדוילעה
אַנשי מעשׂה	אַנשע מײַסעה
אַנשי־מעשׂה	אַנשע־מײַסעה
אַנשי שלומנו	אַנשע שלוימיינו
אַנשי־שלומנו	אַנשע־שלוימיינו
אָנשיכּורן	אָנשיכּערן
אַנשים	אַנאָשים
אַנשים נשים וטף	אַנאָשים נאָשים וועטאַף
אַנשים חשובֿים	אַנאָשים חשוּווים,אַנאָשים כאַשוּווים
אַנשים־חשובֿים	אַנאָשים־חשוּווים,אַנאָשים־כאַשוּווים
אָסור	אָסער
אָסור חזיר	אָסער חאַזער
אָסור־חזיר	אָסער־חאַזער
אָסור לדבר	אָסער לעדאַבער
אָסור־לדבר	אָסער־לעדאַבער
אָסור לרחם	אָסער לעראַחעם
אָסור־לרחם	אָסער־לעראַחעם
אַסורה	אַסורעה
אַסורים	אַסורים
אַסותא	אַסותע
אַסיפֿה	אַסיפֿעה
אַסכּרה	אַסכּערעה
אַסמכתּא	אַסמאַכתּע
אַסנה	אַסנעה
אַסרן	אַסערן
אסתּר	עסתּער
אסתּר המלכּה	עסתּער האַמאַלכּעה
אסתּר תּענית	עסתּער תּאָנעת
אסתּר־תּענית	עסתּער־תּאָנעת
אָפּגעחומרט	אָפּגעחוימערט
אַפּוטרופּוס	אַפּעטראָפּעס
אַפּוטרופּוסים	אַפּעטראָפּסים
אַפּוטרופּס	אַפּעטראָפּעס
אַפּוטרופּסות	אַפּעטראָפּסעת
אַפּוטרופּסים	אַפּעטראָפּסים
אַפּותּיקא	אַפּויתּיקע,פּויטיקע
אַפּותּיקי	אַפּויתּיקע,פּויטיקע
אָפּחורשן	אָפּחוירעשן
אָפּחושכן	אָפּחוישעכן
אָפּחיען	אָפּחײַען
אַפּיקורס	אַפּיקוירעס
אַפּיקורסות	אַפּיקאָרסעת
אַפּיקורסטע	אַפּיקוירעסטע
אַפּיקורסים	אַפּיקאָרסים
אַפּיקורסיש	אַפּיקאָרסיש
אַפּיקורסישן	אַפּיקאָרסישן
אַפּיקורסישע	אַפּיקאָרסישע
אַפּיקורסישער	אַפּיקאָרסישער
אָפּמשלען	אָפּמאָשלען
אַפּנים	אַפּאָנעם
אָפּפּטרן	אָפּפּאַטערן
אַפּשיטא	אַפּשיטע
אפֿוד	אייפֿעד
אַפֿילו	אַפֿילע
אַפֿיקומן	אַפֿיקוימען
אפֿרוח	עפֿרויעח
אפֿרוחים	עפֿרויחים
אפֿרים	עפֿראָיִם
אפֿרימס	עפֿראָיִמס
אפֿרימען	עפֿראָיִמען
אפֿשר	עפֿשער
אָץ קוצץ	אָץ קויצעץ
אָץ־קוצץ	אָץ־קויצעץ
אצבע אלוהים	עצבע עלאָקים,עצבע עלויהים
אצבע־אלוהים	עצבע־עלאָקים,עצבע־עלויהים
אצבע אלקים	עצבע עלאָקים
אצבע־אלקים	עצבע־עלאָקים
אַצילות	אַצילעת
אַקדמות	אַקדאָמעת
אַראָפּגעפּטרט	אַראָפּגעפּאַטערט
אַראָפּפּטרן	אַראָפּפּאַטערן
אַרבה	אַרבעה
אַרבע כּוסות	אַרבע כּויסעת
אַרבע־כּוסות	אַרבע־כּויסעת
אַרבע־כּנפֿות	אַרבעכּאַנפֿעת
אַרבע־כּנפֿותל	אַרבעכּאַנפֿעתל
אַרבע מיתות בית דין	אַרבע מיתעת בעזדן,אַרבע מיתעת בעזן
אַרבע־מיתות־בית־דין	אַרבע־מיתעת־בעזדן,אַרבע־מיתעת־בעזן
אַרבע פּינות העולם	אַרבע פּינעת האָוילעם
אַרבע־פּינות־העולם	אַרבע־פּינעת־האָוילעם
אַרבע רוחות	אַרבע רוחעת
אַרבע־רוחות	אַרבע־רוחעת
אַרבע רוחות העולם	אַרבע רוחעת האָוילעם
אַרבע־רוחות־העולם	אַרבע־רוחעת־האָוילעם
אַרבעה בנים	אַרבאָע באָנים
אַרבעה־בנים	אַרבאָע־באָנים
אַרבעה טורים	אַרבאָע טורים
אַרבעה־טורים	אַרבאָע־טורים
אַרבעים	אַרבאָיִם
אַרויסגנבֿענען	אַרויסגאַנבֿענען
אַרויסגעגנבֿעט	אַרויסגעגאַנבֿעט
אַרויסגעלקחנט	אַרויסגעלאַטחנט
אַרויסגעמשלחט	אַרויסגעמעשאַלייעחט
אַרויסלקחנען	אַרויסלאַטחענען
אַרויסמשלחן	אַרויסמעשאַלייעחן
אַרויספּטרן	אַרויספּאַטערן
אָרון	אָרן
אָרון־קודש	אָרנקוידעש
אַרונות	אַרוינעת
אָרור	אָרער
אַרורה	אַרורעה
אַרורים	אַרורים
אָרחי־פּרחי	אָרחעפּאָרחע
אַר״י	אַרי
אַרי שבחבֿורה	אַרי שעבאַחאַוווּרעה
אַרי־שבחבֿורה	אַרי־שעבאַחאַוווּרעה
אַריבערגנבֿענען	אַריבערגאַנבֿענען
אַריבערגעגנבֿעט	אַריבערגעגאַנבֿעט
אַריבערצוגנבֿענען	אַריבערצוגאַנבֿענען
אַריה	אַריעה
אַריהן	אַריען
אַריהס	אַריעס
אַרײַנגנבֿענען	אַרײַנגאַנבֿענען
אַרײַנגעגנבֿעט	אַרײַנגעגאַנבֿעט
אַרײַנישבֿען	אַרײַניאַשבֿען
אַרײַנישבֿענען	אַרײַניאַשבֿענען
אַרײַנצוגנבֿענען	אַרײַנצוגאַנבֿענען
אַריכות ימים	אַריכעת יאָמים
אַריכות־ימים	אַריכעת־יאָמים
אַרם	אַראַם
אַרם נהרים	אַראַם נאַהאַראַיִם
אַרם־נהרים	אַראַם־נאַהאַראַיִם
אַרמי	אַראַמי
אַרמיש	אַראַמיש
אָרעם בחור	אָרעם באָחער
אָרעם־בחור	אָרעם־באָחער
ארץ	ערעץ
ארץ ישׂראל	ערעץ ייִשׂראָעל
ארץ־ישׂראל	ערעץ־ייִשׂראָעל
ארץ ישׂראל פֿעדעם	ערעץ ייִשׂראָעל פֿעדעם
