Language,Script,Original ,Romanized,Reading dir.,Comments
Japanese,"Hiragana, Katakana, Kanji(Chinese character)",小学校における包括的自己成長プログラムの開発,Shōgakkō ni okeru hōkatsuteki jiko seichō puroguramu no kaihatsu ,L-R ,
KABARDIAN,Cyrillic,,,L-R ,
KALMYK,Cyrillic,,,L-R ,
Kannada,Kannada,ಹರಪನಹಳ್ಳಿ  ಭೀಮವ್ವನವರ  ಕೀರ್ತನೆಗಳು  ,Harapanahaḷḷi Bhīmavvanavara kīrtanegaḷu,L-R ,
KARACAY-BALKAR,Cyrillic,,,L-R ,
KARAKALPAK,Cyrillic,,,L-R ,
Kazakh,Cyrillic/moving to Latin,Қазақстан Республикасы Ұлттық ғылым академиясының хабарлары,Qazaqstan Respublikasy ūlttyq ghylym akademii︠a︡synyn︠g︡ khabarlary,L-R ,
KHAKAS,Cyrillic,,,L-R ,
KOMI/KIMI-PERMYAK,Cyrillic,,,L-R ,
Konkani,Devanagari,श्रीज्ञानेश्वर : अलोकीक व्यक्तीमत्व ,Śrījñāneśvara : alokīka vyaktīmatva ,L-R ,
Konkani,Kannada,ಚಂದ್ರ ಅನಿ ತಾರಾಂ,Candr ani tārāṃ,L-R ,
Korean,Hangul,민주화 이후 국정 운영,Minjuhwa ihu kukchŏng unyŏng,L-R ,
Korean,Hancha only,曉城　趙　明基　博士　追慕　佛教　史學　論文集,Hyosŏng Cho Myŏng-gi Paksa ch'umo Pulgyo sahak nonmunjip,,Not Chinese
Korean ,Hangul +Hancha,民法　과　法學　의　重要　問題,Minpŏp kwa pŏphak ŭi chungyo munje,,Not Chinese
KUMYK,Cyrillic,,,,
Kurdish (Kurmanji),Cyrillic,Ә'франдинед нвиск'аред к'öрдед Әрмәнистанейә Советие,E'frandinêd nvîsk'arêd k'urdêd Ermenîstanêye Sovêtiê,L-R ,
Kurdish (Sorani),Arabic,کەس خۆى بۆ تەرک ناکرێ,Kes xoy bo terk nakrê,R-L ,
Kyrgyz,Cyrillic,"Uchkul sȯzdȯr, chechen sȯzdȯr, tamsilder, myskyldar ","Учкул сөздөр, чечен сөздөр, тамсилдер, мыскылдар ",L-R ,
LAK,Cyrillic,,,L-R ,
Lao,Lao,ປະຫວັດສາດປະເທດລາວແລະວັດທະນະທຳ,Pavatsāt Pathēt Lāo læ vatthanatham,L-R ,
LEZGIAN,Cyrillic,,,L-R ,
Macedonian,Cyrillic,Облици на моќ : вистината за Македонија / Георги (Џорџ) Бранов,Oblici na moḱ : vistinata za Makedonija / Georgi (D︠ž︡ord︠ž︡) Branov,L-R ,
Malayalam,Malayalam,കേരളപാണിനീയം,Kēralapāninīyam,L-R ,
Marathi,Devanagari,निवडक शाहीर अमरशेख ,Nivaḍaka Śāhīra Amaraśekha,L-R ,
MARI,Cyrillic,,,L-R ,
?,Gurmukhi,ਪੰਜਾਬੀ ਲੋਕ-ਸਾਹਿਤ ਵਿਚ ਸੈਨਿਕ,Pañjābī loka-sāhita wica sainika,R-L ,
Mongolian,Cyrillic,Дайчин гүрний үеийн олон хэлний үсэг хавсарсан сурвалж бичгийн судлал,Daĭchin gu̇rniĭ u̇eiĭn olon khėlniĭ u̇sėg khavsarsan survalzh bichgiĭn sudlal,L-R ,
Mongolian,Mongolian,ᠳᠠᠶᠢᠴᠢᠩ ᠭᠦᠷᠦᠨ ᠦ ᠦᠶ ᠡ ᠶᠢᠨ ᠥᠯᠠᠨ ᠺᠡᠯᠡᠨ ᠦ ᠦᠰᠦᠭ ᠬᠠᠪᠰᠸᠷᠸᠭᠰᠠᠨ ᠰᠸᠷᠪᠸᠯᠵᠢ ᠪᠢᠴᠢᠭ ᠦᠨ ᠰᠸᠳᠸᠯᠸᠯ,Dayicing gu̇ru̇n-u̇ u̇y-e-yin olan kelen-u̇ u̇su̇g qabsuruġsan surbulji bicig-u̇n sudulul,L-R ,Originally T-D Script but displayed as L-R
MORDVIN,Cyrillic,,,L-R ,
Nepali,Devanagari,थोपै थोपा : उपन्यास,Thopai thopa : upanayāsa,L-R ,
Newari,Devanagari,बुनाः त्याः पि : नियात्रा ,Bunāḥ tyāḥ pi : niyātrā,L-R ,
NOGAI,Cyrillic,,,L-R ,
OSSETIC,Cyrillic,,,L-R ,
Panjabi,Gurmukhi,ਪੰਜਾਬੀ ਲੋਕ-ਸਾਹਿਤ ਵਿਚ ਸੈਨਿਕ,Pañjābī loka-sāhita wica sainika,R-L ,
Panjabi,Arabic,پنجابی وچ 20 ہندی کہانیاں,Panjābiī vic 20 Hindī kahāniyān̲,R-L ,
Persian,Arabic,‏جامعه ايران در دوران رضا شاه,Jāmiʻah-i Īrān dar dawrān-i Riz̤ā Shāh,R-L ,
Persian,Arabic,بچه‌هاى بد,Bachchahʹhā-yi bad,R-L ,
Pushto,Arabic,چې لاس دې نه راکاوه,Che lās de nah rākāwah,R-L ,
Russian,Cyrillic,"Священный мусор : поднимаясь по лестнице Якова : [рассказы, эссе, интервью]","Svi︠a︡shchennyĭ musor : podnimai︠a︡sʹ po lestnit︠s︡e I︠A︡kova : [rasskazy, ėsse, intervʹi︠u︡]",L-R ,
Sanskrit,Devanagari,संस्कृतानिबन्धञ्जलिः,Saṃskr̥tanibandhāñjaliḥ ,L-R ,
Sindhi,Arabic,انسائيڪلوپيڊيا سنڌيانا,Insāʼiklopīḍiyā Sindhiyānā,R-L ,
Sinhalese,Sinhalese,රාවන හිනාව,Rāvaṇa hināva,L-R ,
Syriac,Syriac,ܠܫܢܝ ܒܐܘܪܚܐ ܚܕܬܐ,Lešāní b-ʼúrḥā ḥadtā,R-L ,
TABASARAN,Cyrillic,,,L-R ,
Tajik,Cyrillic,Farḣangi zaboni tojikī va durnamoi farḣangnigorī dar Tojikiston,Фарҳанги забони тоҷикӣ ва дурнамои фарҳангнигорӣ дар Тоҷикистон ,L-R ,
Tamil,Tamil,திருக்குறள் தெளிவுரை,Tirukkur̲aḷ teḷivurai /,R-L ,
Tatar,Cyrillic,"Равил Әмирхан : биобиблиографик күрсәткеч = Равиль Усманович Амирханов : биобиблиографический указатель, 1969-2003 / [төзучеләр, Алмаз Вәлиев, Зөбәрҗәт Гарипова].","Ravil Ămirkhan : biobibliografik ku̇rsătkech = Ravilʹ Usmanovich Amirkhanov : biobibliograficheskiĭ ukazatelʹ, 1969-2003 /  [tȯzuchelăr, Almaz Văliev, Zȯbărjăt Garipova].",L-R ,
Telugu,Telugu,తెలంగాణ ఉద్యమపాట ప్రాదేశిక విమర్శ,Telaṅgāṇa udyamapāṭa prādēśika vimarśa,L-R ,
Thai,Thai,แนวคิด รูปแบบ และกระบวนการสร้างสรรค์,Nǣokhit rūpbǣp læ krabūankān sāngsan,L-R ,
Tibetan,Tibetan,དབུས་འགྱུར་གྱི་གདན་ས་ཆེན་པོ་སེ་ར་ཐེག་ཆེན་གླིང་གི་གདན་རབས་ངོ་མཚར་ནོར་བུའི་ཕྲེང་བ།,Dbus 'gyur gyi gdan sa chen po se ra theg chen gling gi gdan rabs ngo mtshar nor bu'i phreng ba,L-R ,
Turkmen,Modified variant of Latin																							,Türkmenistanyň Prezidenti Gurbanguly Berdimuhamedowyň ýrdy täzeden galkyndyrmak baradaky syýasaty ,Türkmenistanyň Prezidenti Gurbanguly Berdimuhamedowyň ýurdy täzeden galkyndyrmak baradaky syýasaty,L-R ,
TUVAN,Cyrillic,,,L-R ,
UDMURT,Cyrillic,,,L-R ,
Ukrainian,Cyrillic,Децентралізація в Україні та її вплив на соціально-економічний розвиток територій,Det︠s︡entralizat︠s︡ii︠a︡ v Ukraïni ta ïï vplyv na sot︠s︡ialʹno-ekonomichnyĭ rozvytok terytoriĭ,L-R ,
Urdu,Arabic,   گلگت سے هندور تک,Gilgit se Hundūr tak,R-L ,
Urdu,Arabic,قصّه ميرے سفر کا,Qiṣṣah mere safar kā,R-L ,
Urdu,Arabic,نور جهاں، دليپ اور دوسرے فلمى ستارے,"Nūr Jihān̲, Dalīp aur dūsare filmī sitāre",R-L ,
UYGUR,Cyrillic,,,L-R ,
Uzbek,Cyrillic,"Amir Temur davrida Movarounnakhr : arkheologii︠a︡, tarikh, madanii︠a︡t ","Амир Темур даврида Мовароуннахр : археология, тарих, маданият",L-R ,
YAKUTIAN,Cyrillic,,,L-R ,
Yiddish,Hebrew,מעשיות אויף שבת,Mayśes̀ af Shabes̀,R-L ,
